[17:21:26.1791] [INFO] -------> 重置->狀態 : idle 
[17:21:26.2021] [INFO] -------> Host進入靜默模式 -> Host狀態 : silence 
[17:21:26.3163] [INFO] -------> 目前在silenceMode方法中 -> 狀態 : silence -> 發送ID : 130接收ID : 131 
[17:21:28.6367] [INFO] -------> 發送握手命令System.Byte[] 
[17:21:28.6367] [INFO] -------> 發送握手命令System.Byte[] 
[17:21:28.6427] [INFO] -------> 收到發送命令 :26 
[17:21:28.6427] [INFO] -------> 收到發送命令 :26 
[17:21:28.7073] [INFO] -------> 第一次寫入, 收到發送命令 :0 是正常現象, current_count = 0 與 otherCmdWriteTimes =1  代表確實第一次寫入 -->實際current_count = 0, 實際otherCmdWriteTimes = 1次, 收到的發送命令是 : 27!!  
[17:21:28.7073] [INFO] -------> 收到發送命令 :27, 目前寫到第 : 0包 
[17:21:28.8773] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 1包 
[17:21:29.0036] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 2包 
[17:21:29.1286] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 3包 
[17:21:29.2537] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 4包 
[17:21:29.3803] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 5包 
[17:21:29.5174] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 6包 
[17:21:29.7038] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 7包 
[17:21:29.8774] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 8包 
[17:21:30.0173] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 9包 
[17:21:30.2046] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 10包 
[17:21:30.3773] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 11包 
[17:21:30.5033] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 12包 
[17:21:30.6415] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 13包 
[17:21:30.8294] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 14包 
[17:21:31.0164] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 15包 
[17:21:31.1401] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 16包 
[17:21:31.3258] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 17包 
[17:21:31.4516] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 18包 
[17:21:31.5755] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 19包 
[17:21:31.7004] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 20包 
[17:21:31.8249] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 21包 
[17:21:31.9629] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 22包 
[17:21:32.0722] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 23包 
[17:21:32.2126] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 24包 
[17:21:32.3209] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 25包 
[17:21:32.4473] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 26包 
[17:21:32.5713] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 27包 
[17:21:32.6973] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 28包 
[17:21:32.8213] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 29包 
[17:21:32.9607] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 30包 
[17:21:33.0692] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 31包 
[17:21:33.2094] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 32包 
[17:21:33.3194] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 33包 
[17:21:33.4607] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 34包 
[17:21:33.5709] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 35包 
[17:21:33.6975] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 36包 
[17:21:33.8223] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 37包 
[17:21:33.9487] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 38包 
[17:21:34.0740] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 39包 
[17:21:34.2013] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 40包 
[17:21:34.3233] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 41包 
[17:21:34.4475] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 42包 
[17:21:34.5719] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 43包 
[17:21:34.7594] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 44包 
[17:21:34.9597] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 45包 
[17:21:35.0702] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 46包 
[17:21:35.2113] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 47包 
[17:21:35.3203] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 48包 
[17:21:35.5083] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 49包 
[17:21:35.6961] [INFO] -------> 收到發送命令 :42, 目前寫到第 : 50包 
